1,-,,NED,10,Desheven,Georgie,ST CF,93,28,187,0,,barcelona,130.0,3,CF,Right,,,,,,,,,,,9,,,7,,,10,10,10,9,,,10,10,8,8,,,,10,,0
2,-,,GER,12,Denhager,Manuel,CB,91,32,193,0,,dortmund,117.0,2,sub,Left,,,,,,,10,,,,,,,,,,,,,,,5,,,8,,,,,10,,0
3,CF,,FRA,9,Insite,Dale,ST CF,92,29,186,0,,monaco,122.0,4,CF,Right,,,,,,,,,,,,,,,,,10,10,10,9,,8,,,8,10,,,,9,,0
4,CF,,POR,8,Sousa,Nicolas,CF ST,92,30,189,0,,realmadrid,123.0,2,CF,Right,,,,,,,,,,,,,,,,,9,10,10,10,,,,10,9,7,,,,10,,0
5,-,,GER,1,Kahn,Jans,CF ST,91,30,191,0,,bayern,117.0,3,sub,Right,,,,,,,,,,,,,,,,,10,10,10,10,,5,7,10,9,9,,,,10,,0
6,-,,SVK,21,Škran,Marczin,GK,90,30,197,0,,inter,116.0,4,GK,Right,9,10,8,10,9,,,,,,,,,6,,,,,,,9,2,,,9,,,,9,10,,9
7,-,,ESP,2,Moreno,Juan,LB,91,32,172,0,,barcelona,115.0,2,LB,Left,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,10,,0
8,-,,URU,6,Diego,Oltran,CB,90,32,190,0,,realmadrid,109.0,2,RCB,Right,,,,,,10,,,,,,,,,,,,,,,,3,,,10,,,,,10,,0
9,CF,,BRA,10,Gustavo,Luisinho,ST CF,90,29,188,0,,milan,108.0,3,sub,Right,,,,,,,,,,,,,,,,,10,10,10,10,,,,,8,,,,,9,,0
10,-,,ITA,10,Piazi,Tony,CM,90,31,180,0,,juventus,111.0,3,sub,Right,,,,,,,,,,,,,,10,,,,,,,,,,,6,,,,,,,0
11,LCM,,FRA,8,Ram,Allan,CM,90,30,181,0,,psg,110.0,3,CM,Right,,,,,,,,,,,,,,10,,,,,,,,,,,7,,,,,,,0
12,-,,ESP,7,Pereyra,Carlos,AM SS RW,89,31,185,0,,valencia,103.0,3,RW,Left,,,,,,,,,,,10,10,10,10,,,,,,,,,,,6,,,,,,,0
13,-,,ITA,8,Bonifaccio,Leandro,CB,89,32,196,0,,juventus,100.0,1,sub,Right,,,,,,,,,,,,,,,,,,,,,,3,,,9,,,,,,,0
14,-,,SEN,20,Adebaye,Ian,DM,89,30,187,0,,arsenal,101.0,3,DM,Right,,,,,,,,,,10,,,,,,,,,,,,,,10,8,,,,,,,0
15,sub,,FRA,9,Poresan,Adrian,ST CF,89,27,189,0,,asse,77.0,3,CF,Right,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0
16,LW,,BRA,10,Selaze,Joao,ST CF LW,89,29,180,0,,psg,100.0,4,CF,Right,,,,,,,,,,,,,,,,,,,,,,,10,,6,,,,,,,0
17,-,,ENG,18,Ben,Ryan,CB,88,31,202,0,,tottenham,93.5,3,sub,Right,,,,,,,,,,,,,,,,,,,,,,3,,,9,,,,,,,0
18,-,,CZE,6,Nedelec,Kedar,CF,87,29,188,0,,roma,87.0,2,sub,Right,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0
19,-,,GER,10,Eger,Tomas,CF ST,88,24,188,90,,schalke,49.0,2,sub,Right,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0
20,-,,RUS,28,Ignashevich,Egor,CF ST,88,29,187,0,,spartakmoscow,95.0,3,sub,Right,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0
21,RCM,,POR,11,Cassadia,Victor,CM AM,88,31,183,0,,realmadrid,93.7,3,LCM,Right,,,,,,,,,,,,,10,,,,,,,,,,,,6,,,,,,,0
22,DM,,FRA,9,Dodoualy,Adounal,CM DM,88,25,189,89,,lyon,60.0,2,RCM,Right,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0
23,-,,ESP,2,Ibanez,Juan,GK,88,28,197,0,,valencia,93.5,2,GK,Left,8,9,7,10,10,,,,,,,,,8,,,,,,,8,2,,,8,,,,9,10,,0
24,-,,GER,10,Wetzmeller,Stefen,LW SS AM,88,26,177,0,,salzburg,83.0,1,LW,Right,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0
25,-,,ITA,2,Ambrossio,Antonio,RB,88,30,178,0,,juventus,95.0,3,sub,Right,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0
26,AM,,BRA,7,De Leminues,Santos,AM,87,29,179,0,,tottenham,87.5,2,sub,Left,,,,,,,,,,,,,10,,,,,,,,,6,,,5,,,,,,,0
27,sub,,BRA,7,Nacao,Rodrigo,AM LW,87,28,176,0,,realmadrid,87.0,3,LW,Right,,,,,,,,,,,,,9,,,,,,,,,8,,,5,,,,,,,0
28,-,,ITA,6,Ascera,Luca,CB,87,33,187,0,,milan,88.0,1,sub,Right,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0
29,-,,CHI,4,Diaz,Eric,CB,87,25,188,88,,barcelona,54.0,2,RCB,Right,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0
30,-,,CZE,3,Vyrocil,Tomaš,CB,88,31,193,0,,inter,93.5,3,sub,Right,,,,,,,,,,,,,,,,,,,,,,4,,,9,,,,,,,0
31,-,,URU,11,Suarez,Lisandro,CB,87,28,187,0,,manchestercity,86.7,3,sub,Right,,,,,,,,,,,,,,,,,,,,,,5,,,8,,,,,,,0
32,LCB,,BRA,7,Rafaelo,-,CB,87,32,186,0,,psg,87.0,2,RCB,Right,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0
33,-,,BEL,2,Wael,Tim,CB,87,32,192,0,,tottenham,87.0,2,sub,Right,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0
34,-,,ARG,28,Calsemior,Fabio,DM,87,31,178,0,,barcelona,87.5,3,DM,Right,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0
